"Month","Wages","EmployerTax","TotalJE"
"2021-01","112840.59","11903.83","124744.42"
"2021-02","112949.59","12038.45","124988.04"
"2021-03","122737.69","12307.17","135044.86"
"2021-04","176322.11","15885.48","192207.59"
"2021-05","116987.7","9866.88","126854.58"
"2021-06","122992.91","10218.13","133211.04"
"2021-07","119253.89","9755.32","129009.21"
"2021-08","108488.75","8529.24","117017.99"
"2021-09","107635.23","8312.16","115947.39"
"2021-10","164192.4","12879.78","177072.18"
"2021-11","121256.53","9765.84","131022.37"
"2021-12","111874.11","8927.69","120801.8"
"2022-01","112974.05","12017","124991.05"
"2022-02","100797.99","10656.01","111454"
"2022-03","99724.91","10079.24","109804.15"
"2022-04","146577.32","12801.47","159378.79"
"2022-05","94290.7","7497.22","101787.92"
"2022-06","105033.34","8409.87","113443.21"
"2022-07","110500.68","9124.57","119625.25"
"2022-08","114979.92","9440.3","124420.22"
"2022-09","158484.87","12687.5","171172.37"
"2022-10","96266","7395.25","103661.25"
"2022-11","88452.65","6613.48","95066.13"
"2022-12","86272.95","6383.87","92656.82"
"2023-01","80445.17","8108.61","88553.78"
"2023-02","78434.21","7830.04","86264.25"
"2023-03","110605.45","10245.72","120851.17"
"2023-04","77888.67","6622.09","84510.76"
"2023-05","85725.77","7128.76","92854.53"
"2023-06","79440.86","6311.67","85752.53"
"2023-07","83799.97","6686.03","90486"
"2023-08","89142.75","7168.68","96311.43"
"2023-09","142760.41","11511.32","154271.73"
"2023-10","95367.73","7612.39","102980.12"
"2023-11","95757.64","7644.58","103402.22"
"2023-12","95826.36","7706.75","103533.11"
"2024-01","91856.95","9388.34","101245.29"
"2024-02","92598.25","9395.28","101993.53"
"2024-03","132745.28","12279.54","145024.82"
"2024-04","87356.19","7204.77","94560.96"
"2024-05","92046.64","7303.71","99350.35"
"2024-06","90033.18","7086.2","97119.38"
"2024-07","89059.77","6952.19","96011.96"
"2024-08","131355.4","10197.4","141552.8"
"2024-09","83603.13","6593.93","90197.06"
"2024-10","87227.69","6855.83","94083.52"
"2024-11","79755.31","6245.42","86000.73"
"2024-12","78313.78","6083.07","84396.85"
"2025-01","112396.51","11584.94","123981.45"
"2025-02","63907.97","6418.01","70325.98"
"2025-03","65006.43","6065.05","71071.48"
"2025-04","63708.66","5477.92","69186.58"
"2025-05","47836.53","4063.49","51900.02"
"2025-06","48817.98","4116.04","52934.02"
"2025-07","42129.87","3399.01","45528.88"
"2025-08","59671.64","4729.94","64401.58"
"2025-09","36078","2772.8","38850.8"
"2025-10","30223.11","2268.04","32491.15"
"2025-11","24955.15","1873.94","26829.09"
"2025-12","25018.24","1893.66","26911.9"
"2026-01","16682.43","1684.35","18366.78"
"2026-02","4328.15","423.41","4751.56"
"2026-03","1810.67","183.91","1994.58"
"2026-04","3167.57","308","3475.57"
"2026-05","1571.72","151.51","1723.23"
