Item,BadAvgCost,ProposedCost,Note
----,----------,------------,----
48X42DWREDWYEBE,10000526.0000,10000526.0000,use last receipt cost
36X06DWREDWYEBE,10000498.0000,10000498.0000,use last receipt cost
30X24DWREDWYEBE,10000496.0000,10000496.0000,use last receipt cost
F48X08DWREDWYE,10000452.0000,10000452.0000,use last receipt cost
F15X04DWREDTEE,10000297.0000,10000297.0000,use last receipt cost
F10X08DWREDTEE,10000292.0000,10000292.0000,use last receipt cost
F30DWENDCAP,10000192.0000,10000192.0000,use last receipt cost
F42DW22 ELBOWBE,10000120.0000,10000120.0000,use last receipt cost
F30DBLBELL,10000109.0000,10000109.0000,use last receipt cost
F24DBLBELL,10000108.0000,10000108.0000,use last receipt cost
F18DBLBELL,10000107.0000,10000107.0000,use last receipt cost
F12DBLBELL,10000105.0000,10000105.0000,use last receipt cost
F03ELBOW,10000062.0000,10000062.0000,use last receipt cost
F36ENDCAP,10000061.0000,10000061.0000,use last receipt cost
F30ENDCAP,10000060.0000,10000060.0000,use last receipt cost
F08ENDCAP,10000054.0000,10000054.0000,use last receipt cost
F06X04REDCROSSTE,10000010.0000,10000010.0000,use last receipt cost
F04WYE,10000000.0000,10000000.0000,use last receipt cost
BBIRCH2030,147917.4470,147917.5000,use last receipt cost
1616P116,56731.9778,2141.0000,use last receipt cost
MNC31519-000,44599.5900,44599.5900,use last receipt cost
SOP32918-000,25532.0000,25532.0000,use last receipt cost
MNC38869-000,20044.1200,20044.1200,use last receipt cost
6630T,18611.1111,18611.1111,use last receipt cost
MNC22455-000,17763.6000,17763.6000,use last receipt cost
SOC61040-000,15505.5300,15505.5300,use last receipt cost
MNC87946-000,13474.9900,13474.9900,use last receipt cost
MNC77660-000,13315.3800,13315.3800,use last receipt cost
MNC13483-000,11873.7700,11873.7700,use last receipt cost
MNC23673-000,11737.9900,11737.9900,use last receipt cost
MNC02902-000,11000.0000,11000.0000,use last receipt cost
MNC08458-000,10688.7000,10688.7000,use last receipt cost
MNC42550-000,10621.6600,10621.6600,use last receipt cost
MNC47949-000,10371.2400,10371.2400,use last receipt cost
MNC21184-000,10028.2200,10028.2200,use last receipt cost
