Item,OnHand,AvgCost,LastReceiptCost,ExtValue,CostFlag,QtyFix
----,------,-------,---------------,--------,--------,------
F04WYE,-10.0000,10000000.0000,10000000.0000,-100000000.00,cost plausible,COUNT TO 0 (or actual)
2416S2,-602.0000,617.0540,652.8302,-371466.51,cost plausible,COUNT TO 0 (or actual)
2412S-PS,-249.0000,871.5570,687.0000,-217017.69,cost plausible,COUNT TO 0 (or actual)
2416S,-154.0000,888.5578,895.6006,-136837.90,cost plausible,COUNT TO 0 (or actual)
2412S2,-150.0000,890.0000,608.7500,-133500.00,cost plausible,COUNT TO 0 (or actual)
249PC,-218.0000,599.6985,598.3333,-130734.27,cost plausible,COUNT TO 0 (or actual)
2410S2,-145.0000,890.0000,593.9394,-129050.00,cost plausible,COUNT TO 0 (or actual)
19924760,-726.0100,77.0600,75.5000,-55946.33,cost plausible,COUNT TO 0 (or actual)
MF09566,-1623.0000,31.7433,32.5800,-51519.38,cost plausible,COUNT TO 0 (or actual)
248PC2,-85.0000,605.9527,621.5088,-51505.98,cost plausible,COUNT TO 0 (or actual)
58OSB,-83.0000,570.2628,574.0000,-47331.81,cost plausible,COUNT TO 0 (or actual)
OCFO30OBARPO,-357.0000,108.9900,108.9900,-38909.43,cost plausible,COUNT TO 0 (or actual)
34A,-36.0000,1048.2750,1056.5625,-37737.90,cost plausible,COUNT TO 0 (or actual)
2416T1,-42.5000,817.9300,825.1769,-34762.03,cost plausible,COUNT TO 0 (or actual)
2410S,-56.5000,602.6515,604.5455,-34049.81,cost plausible,COUNT TO 0 (or actual)
248PC,-48.0000,607.0097,654.7170,-29136.47,cost plausible,COUNT TO 0 (or actual)
248S,-49.0000,566.3955,566.0377,-27753.38,cost plausible,COUNT TO 0 (or actual)
248S2,-49.0000,494.7792,481.1321,-24244.18,cost plausible,COUNT TO 0 (or actual)
1108C,-6.6667,3300.0000,.0000,-22000.11,FIX COST FIRST - corrupt,COUNT TO 0 (or actual)
2616S,-23.0000,840.0000,840.0000,-19320.00,cost plausible,COUNT TO 0 (or actual)
716OSB,-39.0000,441.1467,433.0000,-17204.72,cost plausible,COUNT TO 0 (or actual)
2416SB-PS,-13.0000,1246.1200,538.6792,-16199.56,cost plausible,COUNT TO 0 (or actual)
MF09584,-536.0000,29.8200,.0616,-15983.52,FIX COST FIRST - inflated,COUNT TO 0 (or actual)
MF09656,-444.0000,33.7300,32.5800,-14976.12,cost plausible,COUNT TO 0 (or actual)
MF51216,-437.0000,31.1533,30.6000,-13613.99,cost plausible,COUNT TO 0 (or actual)
716OSB-PS,-20.0000,655.2431,230.0000,-13104.86,cost plausible,COUNT TO 0 (or actual)
269PC,-18.0000,695.6104,668.8889,-12520.99,cost plausible,COUNT TO 0 (or actual)
310YHC,-161.0000,77.0393,76.5600,-12403.33,cost plausible,COUNT TO 0 (or actual)
12RB20,-1855.0000,6.3565,6.3500,-11791.31,cost plausible,COUNT TO 0 (or actual)
2108T2,-15.0000,710.4308,670.6767,-10656.46,cost plausible,COUNT TO 0 (or actual)
168C,-4.0000,2580.0000,.0000,-10320.00,FIX COST FIRST - corrupt,COUNT TO 0 (or actual)
21010-PS,-10.0000,900.0000,677.6694,-9000.00,cost plausible,COUNT TO 0 (or actual)
2412T1,-12.0000,680.1520,648.7500,-8161.82,cost plausible,COUNT TO 0 (or actual)
21212P1,-8.0000,886.9101,890.0000,-7095.28,cost plausible,COUNT TO 0 (or actual)
2614T1,-10.0000,654.0043,648.5714,-6540.04,cost plausible,COUNT TO 0 (or actual)
HW9,-60.0000,108.0000,108.0000,-6480.00,cost plausible,COUNT TO 0 (or actual)
8084AC,-60.0000,107.9700,116.7000,-6478.20,cost plausible,COUNT TO 0 (or actual)
5420T,-5.0000,1200.0000,1873.6000,-6000.00,cost plausible,COUNT TO 0 (or actual)
2610S,-8.0000,702.5499,710.0000,-5620.40,cost plausible,COUNT TO 0 (or actual)
DE512BK,-14.0000,367.1000,367.1000,-5139.40,cost plausible,COUNT TO 0 (or actual)
58CD,-4.0000,1283.6635,1285.0000,-5134.65,cost plausible,COUNT TO 0 (or actual)
2612S,-6.0000,793.3995,799.0000,-4760.40,cost plausible,COUNT TO 0 (or actual)
268T1,-8.0000,590.5208,577.5000,-4724.17,cost plausible,COUNT TO 0 (or actual)
OCFDTDMDWOB,-36.0000,124.9800,.0000,-4499.28,cost plausible,COUNT TO 0 (or actual)
2616P3,-8.0000,550.0000,461.0000,-4400.00,cost plausible,COUNT TO 0 (or actual)
5412T,-5.0000,828.1569,838.6667,-4140.78,cost plausible,COUNT TO 0 (or actual)
6610T,-5.0000,816.4568,898.3333,-4082.28,cost plausible,COUNT TO 0 (or actual)
MF09744,-.9900,3726.0000,3599.0000,-3688.74,cost plausible,COUNT TO 0 (or actual)
2812S2,-5.0000,725.0000,12290.0000,-3625.00,cost plausible,COUNT TO 0 (or actual)
38STING,-58.0000,61.3600,61.3600,-3558.88,cost plausible,COUNT TO 0 (or actual)
148C,-2.6667,1310.0000,.0000,-3493.38,cost plausible,COUNT TO 0 (or actual)
310YHP,-19.0000,176.2853,175.2300,-3349.42,cost plausible,COUNT TO 0 (or actual)
268P1,-7.0000,476.0000,476.0000,-3332.00,cost plausible,COUNT TO 0 (or actual)
2610T1,-5.0000,626.8861,623.0000,-3134.43,cost plausible,COUNT TO 0 (or actual)
12OSB,-5.0000,608.2000,584.0625,-3041.00,cost plausible,COUNT TO 0 (or actual)
SOC09351-000,-4.0000,726.9900,726.9900,-2907.96,cost plausible,COUNT TO 0 (or actual)
2812P2,-6.0000,480.0000,480.0000,-2880.00,cost plausible,COUNT TO 0 (or actual)
14011068,-69.0000,41.6200,39.1000,-2871.78,cost plausible,COUNT TO 0 (or actual)
MF53253,-62.0000,45.1500,43.6100,-2799.30,cost plausible,COUNT TO 0 (or actual)
