"YearMonth","L1_TotalReceipts","L2to6_ExemptCerts","L10_NonRetailServiceInstall","L12_BadDebts","L17a_Desc","L17b_OtherDeduct","L24_TotalTaxable","L25_Tax6pct","ReportTaxOrig","ReallocApplied"
"202002","15775.02","1133.64","0","0","Installed sales billings reversed at contract closeout","4415.58","10225.80","613.55","810.47","-196.92"
"202003","273460.84","16430.83","35648","0","Installed sales billings reversed at contract closeout","66227.92","155154.09","9309.25","12297.1","-2987.85"
"202004","47497.54","286.05","2712","0","Installed sales billings reversed at contract closeout","11028.77","33470.72","2008.24","2652.8","-644.56"
"202005","84835.83","3520.72","200","0","Installed sales billings reversed at contract closeout","22373.67","58741.44","3524.49","4655.69","-1131.20"
"202006","167451.29","11622.85","1600","0","Installed sales billings reversed at contract closeout","46272.25","107956.19","6477.37","8556.32","-2078.95"
"202007","208305.26","21852.35","1150","0","Installed sales billings reversed at contract closeout","61565.85","123737.06","7424.22","9807.07","-2382.85"
"202008","346682.29","15748.85","1260","0","Installed sales billings reversed at contract closeout","136508.99","193164.45","11589.87","15309.7","-3719.83"
"202009","635842.68","40539.53","95","0","Installed sales billings reversed at contract closeout","175308.22","419899.93","25194.00","33280.15","-8086.15"
"202010","1288292.52","0","19860","0","Installed sales billings reversed at contract closeout","556364.17","712068.35","42724.10","56436.64","-13712.54"
"202011","695250.81","7060.1","35","0","Installed sales billings reversed at contract closeout","172546.65","515609.06","30936.54","40865.8","-9929.26"
"202012","487421.22","0","40372","0","Installed sales billings reversed at contract closeout","108619.98","338429.24","20305.75","26823","-6517.25"
"202101","403459.98","0","39115","0","Installed sales billings reversed at contract closeout","88525.21","275819.77","16549.19","21860.74","-5311.55"
"202102","338156.35","1903.14","7917","0","Installed sales billings reversed at contract closeout","186999.39","141336.82","8480.21","11201.98","-2721.77"
"202103","644535.74","16753.74","72029","0","Installed sales billings reversed at contract closeout","147742.19","408010.81","24480.65","32337.85","-7857.20"
"202104","459933.68","14547.7","1215","0","Installed sales billings reversed at contract closeout","121390.01","322780.97","19366.86","25582.76","-6215.90"
"202105","485726.08","8981.6","25","0","Installed sales billings reversed at contract closeout","122628.60","354090.88","21245.45","28064.3","-6818.85"
"202106","806043.11","20267.78","20931","0","Installed sales billings reversed at contract closeout","201178.90","563665.43","33819.93","44674.62","-10854.69"
"202107","701344.81","74390.88","96928","0","Installed sales billings reversed at contract closeout","530025.93","0","0.00","-85360.34","85360.34"
"202108","358353.98","1548.36","54","0","Installed sales billings reversed at contract closeout","154745.45","202006.17","12120.37","15673.06","-3552.69"
"202109","432745.73","16226.84","5625","0","Installed sales billings reversed at contract closeout","105688.26","305205.63","18312.34","23680","-5367.66"
"202110","471092.72","15919.29","3075","0","Installed sales billings reversed at contract closeout","114791.43","337307.00","20238.42","26170.65","-5932.23"
"202111","499594.93","8219.58","7564","0","Installed sales billings reversed at contract closeout","116021.56","367789.79","22067.39","28535.72","-6468.33"
"202112","551778.51","29138","79747","0","Installed sales billings reversed at contract closeout","442893.51","0","0.00","-19833.88","19833.88"
"202201","446184.75","31791.04","1202","0","Installed sales billings reversed at contract closeout","60261.07","352930.64","21175.84","23146","-1970.16"
"202202","395812.35","10783.97","5220","0","Installed sales billings reversed at contract closeout","42193.61","337614.77","20256.89","22141.55","-1884.66"
"202203","733768.68","91831.46","13404","0","Installed sales billings reversed at contract closeout","137599.01","490934.21","29456.05","32196.59","-2740.54"
"202204","404967.61","51096.29","352","0","Installed sales billings reversed at contract closeout","76873.29","276646.03","16598.76","18143.08","-1544.32"
"202205","549477.99","41168.1","51999","0","Installed sales billings reversed at contract closeout","76501.49","379809.40","22788.56","24908.77","-2120.21"
