"YearMonth","GrossLikeReceipts","Exempt","NonTax","TaxableOrig","TaxOrig","Realloc","TaxAdj","TaxableAdj","FarmExempt_L3","USPSExempt_L6","OtherExempt","StoreUseCost_L23a","StoreUseTax"
"202009","1271685.36","81079.06","190","1190416.3","66560.3","-18735.63","47824.67","797077.82","0","0","81079.06","0","0"
"202010","2576585.04","0","39720","2536865.04","112873.28","-31771.97","81101.31","1351688.44","0","0","0","0","0"
"202011","1390501.62","14120.2","70","1376311.42","81731.6","-23006.10","58725.50","978758.29","0","0","14120.2","759.33","45.57"
"202012","974842.94","0","80744.5","894098.44","53646","-15100.47","38545.53","642425.54","0","0","0","819.59","49.18"
"202101","806919.96","0","78230","728689.96","43721.48","-12306.88","31414.60","523576.70","0","0","0","3334.63","200.06"
"202102","676311.90","3806.28","15833.2","656672.42","22403.96","-6306.35","16097.61","268293.56","0","0","3806.28","2703.59","108.95"
"202103","1289071.48","33507.48","144058","1111506","64675.7","-18205.15","46470.55","774509.22","0","0","33507.48","733.69","41.86"
"202104","919867.36","29095.4","2430","888341.96","51165.52","-14402.25","36763.27","612721.12","0","0","29095.4","3690.31","26.73"
"202105","971452.16","17963.2","50","953438.96","56128.6","-15799.28","40329.32","672155.36","0","0","17963.2","361.05","21.67"
"202106","1612087.04","40535.56","41862.82","1529688.66","89349.24","-25150.34","64198.90","1069981.62","11128.45","0","29407.11","593.17","35.62"
"202107","1402688.68","148781.76","193855.06","1060051.86","-170720.68","170720.68","0.00","0","1137.4","0","147644.36","39.34","2.36"
"202108","716707.08","3096.72","107.12","713503.24","31346.12","-7137.75","24208.37","403472.88","0","0","3096.72","103.11","6.2"
"202109","865491.92","32453.68","11250.46","821787.78","47360","-10784.23","36575.77","609596.20","0","0","32453.68","261.75","15.73"
"202110","942184.60","31838.58","6149.16","904196.86","52341.3","-11918.51","40422.79","673713.21","0","0","31838.58","238","14.29"
"202111","999190.58","16439.16","15128.72","967622.7","57071.44","-12995.60","44075.84","734597.40","0","0","16439.16","192.7","11.56"
"202112","1103557.68","58276","159494.66","885787.02","-39667.76","39667.76","0.00","0","0","0","58276","751.01","45.05"
"202201","892368.94","63582.08","2403.44","826383.42","46292","-3996.87","42295.13","704918.78","0","0","63582.08","393.75","23.66"
"202202","791624.64","21567.94","10439.94","759616.76","44283.1","-3823.42","40459.68","674327.94","1896.25","0","19671.69","262.07","15.72"
"202203","1467538.18","183662.92","26808.82","1257066.44","64393.18","-5559.74","58833.44","980557.38","0","0","183662.92","177.33","4.91"
"202204","809934.92","102192.58","703.7","707038.64","36286.16","-3132.96","33153.20","552553.26","0","0","102192.58","41.8","0"
"202205","1098955.82","82336.2","103997.84","912621.78","49817.54","-4301.27","45516.27","758604.50","0","52.96","82283.24","15.95","0.96"
"202206","1757189.64","96342.18","141334.88","1519512.58","-16010.9","16010.9","0.0","0","0","0","96342.18","3.22","0.19"
"202207","1095444.46","72877.86","26996.96","995569.64","55361.88","-11036.71","44325.17","738752.79","0","0","72877.86","15942.3","956.55"
"202208","1762281.28","203958.18","184332.84","1373990.26","33987.06","-6775.52","27211.54","453525.70","0","0","203958.18","0","0"
"202209","1385696.20","20732.96","8574.48","1356388.76","80139.3","-15976.24","64163.06","1069384.40","100.97","0","20631.99","0","0"
"202210","878408.92","99067.18","-752.44","780094.18","40862.16","-8146.11","32716.05","545267.51","30.98","0","99036.20","2.21","0.13"
"202211","765121.08","63490.06","8599.58","693031.44","37773.14","-7530.30","30242.84","504047.41","0","48.77","63441.29","0","0"
