Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
-------|-------|--------|-------|------|------
1000167|2301|38.9800|649.7900|.0000|.0000
MAUPINCONS|2005|520.6200|8676.9400|.0000|.0000
1000186|2403|2.2900|38.2300|.0000|.0000
1000099|2512|1.3800|22.9700|.0000|.0000
1000028|2504|54.1800|902.9100|.0000|.0000
1000088|2212|143.1300|2385.5500|-55.7200|.0000
1000120|2004|812.1200|13535.3100|.0000|.0000
1000102|2112|413.0700|6884.6500|.0000|.0000
1000152|2404|.1700|2.8900|.0000|.0000
1000226|2605|.2700|4.5300|.0000|.0000
1000048|2404|.8900|14.3900|.0000|.0000
1000113|2111|292.4100|4873.4800|6160.0000|.0000
1000040|2309|65.0400|1083.8400|.0000|.0000
CURTISW|2112|50.0600|834.4100|.0000|.0000
1000200|2101|3052.6400|50876.9100|.0000|.0000
1000141|2204|11.8400|197.4100|.0000|.0000
1000109|2312|81.9600|1365.7600|.0000|.0000
1000248|2407|3194.1600|53236.0400|.0000|.0000
1000185|2209|89.2900|1488.2700|.0000|.0000
1000048|2410|.8800|14.6400|.0000|.0000
1000159|2412|.8900|14.8600|.0000|.0000
1000123|2311|9.3200|155.4000|.0000|.0000
1000155|2508|7.0900|118.1700|.0000|.0000
1000114|2110|.0000|308.0400|.0000|308.0400
HAYESTHOM|2105|961.2200|16020.5500|.0000|.0000
1000120|2212|25.9200|431.9800|.0000|.0000
1000186|2603|1.1300|18.8700|.0000|.0000
1000151|2403|9.0300|150.5800|.0000|.0000
ASKAGGS|2011|.6200|10.3200|.0000|.0000
1000087|2407|7.4100|123.4300|.0000|.0000
1000025|2306|911.2900|15188.1300|.0000|.0000
1000077|2501|28.9100|481.7500|.0000|.0000
1000190|2006|635.3900|10589.8300|.0000|.0000
1000031|2402|16.2700|271.1800|.0000|.0000
1000055|2307|188.1700|3136.3500|.0000|.0000
1000034|2503|1.4000|23.3000|.0000|.0000
1000163|2204|3.2000|53.2500|.0000|.0000
1000161|2010|76.4600|1274.4000|.0000|.0000
1000092|2307|200.1900|3336.4500|.0000|.0000
LARRY|2201|27.9600|465.9900|.0000|.0000
1000013|2501|4.2800|71.2900|.0000|.0000
ANDYTANNER|2208|.7900|13.2200|.0000|.0000
EDCECIL|2004|1144.6800|19077.9600|.0000|.0000
1000110|2210|.7800|13.0500|.0000|.0000
ALABAMA|2106|.0000|2148.1000|.0000|2148.1000
1000197|2111|352.0300|5867.1500|.0000|.0000
1000039|2312|.0000|3.7000|.0000|3.7000
1000177|2310|446.6500|7443.9800|.0000|.0000
1000197|2310|29.0800|484.8500|.0000|.0000
MAUPINCONS|2002|.0000|.0000|.0000|.0000
1000110|2105|31.8200|530.3300|.0000|.0000
1000167|2503|1.2400|20.6700|.0000|.0000
1000200|2106|4951.7000|82527.9100|.0000|.0000
1000105|2106|5400.2200|90004.0200|.0000|.0000
CCI|2111|21.1900|353.2000|.0000|.0000
1000160|2208|350.3000|5838.2900|.0000|.0000
1000028|2507|24.7900|413.1100|.0000|.0000
1000233|2409|.0800|1.3900|.0000|.0000
HAYESTHOM|2108|115.2300|1920.6500|.0000|.0000
1000200|2110|2152.4600|35874.4700|600.0000|.0000
1000141|2303|23.4100|390.0700|.0000|.0000
1000118|2212|3.5400|59.1200|.0000|.0000
1000128|2201|2.3500|39.1600|.0000|.0000
1000138|2009|266.9200|4448.6800|.0000|.0000
1000173|2212|59.5900|993.2000|.0000|.0000
1000186|2604|2.3900|39.9200|.0000|.0000
1000160|2403|534.9600|8915.9300|.0000|.0000
1000098|2406|49.9100|831.7500|.0000|.0000
ANDYTANNER|2203|.6000|9.9900|.0000|.0000
1000095|2407|1.5300|25.5700|.0000|.0000
1000025|2309|27.6900|461.5200|.0000|.0000
1000119|2212|721.5400|12025.6500|.0000|.0000
