"Account","YM","Leftover"
"1000003","202312","-3481.19"
"1000044","202409","-2297.16"
"1000105","202312","-6459.22"
"1000108","202208","-401.44"
"1000150","202401","-125.02"
"1000150","202409","-4488.58"
"1000160","202409","-2219.62"
"1000177","202408","-748.15"
"1000177","202409","-308.22"
"1000180","202208","-2254.36"
"1000180","202409","-4625.41"
"1000181","202408","-322.98"
"1000200","202408","-5.72"
"1000201","202409","-30.34"
"1000203","202107","-629.51"
"1000203","202206","-506.12"
"1000210","202409","-345.37"
"1000241","202409","-427.97"
"NPM LLC","202312","-122.99"
"RICKROBY","202209","-4.59"
